ant_main,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,Pride-iFit,,win,tie,loss
Top-Ranked%=0.01,0.2,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,,2,6,0
Top-Ranked%=0.02,0.2,0,0.2,0.2,0.2,0.2,0.2,0.5,0.6,,8,0,0
Top-Ranked%=0.03,0.3,0,0.2,0.4,0.4,0.2,0.4,0.6,0.7,,8,0,0
Top-Ranked%=0.04,0.3,0,0.2,0.4,0.4,0.2,0.5,0.7,0.7,,7,1,0
Top-Ranked%=0.05,0.4,0,0.2,0.4,0.4,0.2,0.5,0.7,0.7,,7,1,0
Top-Ranked%=0.06,0.5,0,0.2,0.4,0.4,0.2,0.6,0.8,0.7,,7,0,1
Top-Ranked%=0.07,0.5,0,0.2,0.5,0.5,0.2,0.6,0.8,0.8,,7,1,0
Top-Ranked%=0.08,0.5,0,0.2,0.5,0.5,0.5,0.6,0.8,0.8,,7,1,0
Top-Ranked%=0.09,0.6,0,0.2,0.5,0.5,0.7,0.6,0.8,0.8,,7,1,0
Top-Ranked%=0.1,0.6,0,0.2,0.5,0.5,0.7,0.6,0.8,0.8,,7,1,0
Top-Ranked%=0.11,0.6,0,0.6,0.5,0.5,0.7,0.6,0.8,0.8,,7,1,0
Top-Ranked%=0.12,0.7,0,0.6,0.5,0.5,0.7,0.6,0.8,0.8,,7,1,0
Top-Ranked%=0.13,0.7,0,0.6,0.5,0.5,0.7,0.7,0.8,0.8,,7,1,0
Top-Ranked%=0.14,0.7,0,0.6,0.6,0.6,0.7,0.8,0.8,0.9,,8,0,0
Top-Ranked%=0.15,0.7,0,0.7,0.6,0.6,0.7,0.8,0.8,0.9,,8,0,0
